DAY_WITHIN_SEASON,GAME_DATE,GAME_ID,T1_IS_HOME,T1_L,T1_L_cum,T1_PLUS_MINUS,T1_PTS,T1_TEAM_ID,T1_TEAM_NAME,T1_W,T1_W_cum,T2_IS_HOME,T2_L,T2_L_cum,T2_PLUS_MINUS,T2_PTS,T2_TEAM_ID,T2_TEAM_NAME,T2_W,T2_W_cum
0,2016-10-25,21600001,True,0,0.0,29,117,1610612739,Cleveland Cavaliers,1,0.0,False,1,0.0,-29,88,1610612752,New York Knicks,0,0.0
0,2016-10-25,21600002,True,0,0.0,9,113,1610612757,Portland Trail Blazers,1,0.0,False,1,0.0,-9,104,1610612762,Utah Jazz,0,0.0
0,2016-10-25,21600003,True,1,0.0,-29,100,1610612744,Golden State Warriors,0,0.0,False,0,0.0,29,129,1610612759,San Antonio Spurs,1,0.0
1,2016-10-26,21600004,False,0,0.0,12,108,1610612748,Miami Heat,1,0.0,True,1,0.0,-12,96,1610612753,Orlando Magic,0,0.0
1,2016-10-26,21600005,False,1,0.0,-9,121,1610612742,Dallas Mavericks,0,0.0,True,0,0.0,9,130,1610612754,Indiana Pacers,1,0.0
1,2016-10-26,21600006,True,0,0.0,5,122,1610612738,Boston Celtics,1,0.0,False,1,0.0,-5,117,1610612751,Brooklyn Nets,0,0.0
1,2016-10-26,21600007,True,0,0.0,18,109,1610612761,Toronto Raptors,1,0.0,False,1,0.0,-18,91,1610612765,Detroit Pistons,0,0.0
1,2016-10-26,21600008,True,1,0.0,-11,96,1610612749,Milwaukee Bucks,0,0.0,False,0,0.0,11,107,1610612766,Charlotte Hornets,1,0.0
1,2016-10-26,21600009,False,1,0.0,-4,98,1610612750,Minnesota Timberwolves,0,0.0,True,0,0.0,4,102,1610612763,Memphis Grizzlies,1,0.0
1,2016-10-26,21600010,True,1,0.0,-5,102,1610612740,New Orleans Pelicans,0,0.0,False,0,0.0,5,107,1610612743,Denver Nuggets,1,0.0
1,2016-10-26,21600011,True,1,0.0,-6,97,1610612755,Philadelphia 76ers,0,0.0,False,0,0.0,6,103,1610612760,Oklahoma City Thunder,1,0.0
1,2016-10-26,21600012,True,1,0.0,-19,94,1610612756,Phoenix Suns,0,0.0,False,0,0.0,19,113,1610612758,Sacramento Kings,1,0.0
1,2016-10-26,21600013,False,1,0.0,-6,114,1610612745,Houston Rockets,0,0.0,True,0,0.0,6,120,1610612747,Los Angeles Lakers,1,0.0
2,2016-10-27,21600014,True,0,0.0,15,114,1610612737,Atlanta Hawks,1,0.0,False,1,0.0,-15,99,1610612764,Washington Wizards,0,0.0
2,2016-10-27,21600015,False,1,0.0,-6,99,1610612738,Boston Celtics,0,0.0,True,0,0.0,6,105,1610612741,Chicago Bulls,1,0.0
2,2016-10-27,21600016,True,1,0.0,-8,94,1610612758,Sacramento Kings,0,0.0,False,0,0.0,8,102,1610612759,San Antonio Spurs,1,0.0
2,2016-10-27,21600017,False,0,0.0,8,114,1610612746,LA Clippers,1,0.0,True,1,0.0,-8,106,1610612757,Portland Trail Blazers,0,0.0
3,2016-10-28,21600018,False,0,0.0,3,94,1610612739,Cleveland Cavaliers,1,0.0,True,1,0.0,-3,91,1610612761,Toronto Raptors,0,0.0
3,2016-10-28,21600019,True,0,0.0,9,103,1610612751,Brooklyn Nets,1,0.0,False,1,0.0,-9,94,1610612754,Indiana Pacers,0,0.0
3,2016-10-28,21600020,False,1,0.0,-26,82,1610612753,Orlando Magic,0,0.0,True,0,0.0,26,108,1610612765,Detroit Pistons,1,0.0
3,2016-10-28,21600021,False,1,0.0,-3,110,1610612756,Phoenix Suns,0,0.0,True,0,0.0,3,113,1610612760,Oklahoma City Thunder,1,0.0
3,2016-10-28,21600022,True,1,0.0,-6,91,1610612748,Miami Heat,0,0.0,False,0,0.0,6,97,1610612766,Charlotte Hornets,1,0.0
3,2016-10-28,21600023,True,1,0.0,-8,98,1610612742,Dallas Mavericks,0,0.0,False,0,0.0,8,106,1610612745,Houston Rockets,1,0.0
3,2016-10-28,21600024,False,1,0.0,-7,89,1610612747,Los Angeles Lakers,0,0.0,True,0,0.0,7,96,1610612762,Utah Jazz,1,0.0
3,2016-10-28,21600025,True,1,0.0,-8,114,1610612740,New Orleans Pelicans,0,0.0,False,0,0.0,8,122,1610612744,Golden State Warriors,1,0.0
4,2016-10-29,21600026,False,0,0.0,32,104,1610612737,Atlanta Hawks,1,0.0,True,1,0.0,-32,72,1610612755,Philadelphia 76ers,0,0.0
4,2016-10-29,21600027,False,0,0.0,6,104,1610612738,Boston Celtics,1,0.0,True,1,0.0,-6,98,1610612766,Charlotte Hornets,0,0.0
4,2016-10-29,21600028,True,0,0.0,7,111,1610612752,New York Knicks,1,0.0,False,1,0.0,-7,104,1610612763,Memphis Grizzlies,0,0.0
4,2016-10-29,21600029,True,0,0.0,6,105,1610612739,Cleveland Cavaliers,1,0.0,False,1,0.0,-6,99,1610612753,Orlando Magic,0,0.0
4,2016-10-29,21600030,True,0,0.0,17,118,1610612741,Chicago Bulls,1,0.0,False,1,0.0,-17,101,1610612754,Indiana Pacers,0,0.0
4,2016-10-29,21600031,True,0,0.0,2,110,1610612749,Milwaukee Bucks,1,0.0,False,1,0.0,-2,108,1610612751,Brooklyn Nets,0,0.0
4,2016-10-29,21600032,False,1,0.0,-19,79,1610612740,New Orleans Pelicans,0,0.0,True,0,0.0,19,98,1610612759,San Antonio Spurs,1,0.0
4,2016-10-29,21600033,True,1,0.0,-2,113,1610612743,Denver Nuggets,0,0.0,False,0,0.0,2,115,1610612757,Portland Trail Blazers,1,0.0
4,2016-10-29,21600034,False,1,0.0,-3,103,1610612750,Minnesota Timberwolves,0,0.0,True,0,0.0,3,106,1610612758,Sacramento Kings,1,0.0
5,2016-10-30,21600035,True,0,0.0,13,88,1610612746,LA Clippers,1,0.0,False,1,0.0,-13,75,1610612762,Utah Jazz,0,0.0
5,2016-10-30,21600036,False,0,0.0,6,106,1610612744,Golden State Warriors,1,0.0,True,1,0.0,-6,100,1610612756,Phoenix Suns,0,0.0
5,2016-10-30,21600037,True,1,0.0,-7,99,1610612748,Miami Heat,0,0.0,False,0,0.0,7,106,1610612759,San Antonio Spurs,1,0.0
5,2016-10-30,21600038,False,1,0.0,-15,83,1610612749,Milwaukee Bucks,0,0.0,True,0,0.0,15,98,1610612765,Detroit Pistons,1,0.0
5,2016-10-30,21600039,True,0,0.0,9,112,1610612763,Memphis Grizzlies,1,0.0,False,1,0.0,-9,103,1610612764,Washington Wizards,0,0.0
5,2016-10-30,21600040,False,1,0.0,-17,96,1610612747,Los Angeles Lakers,0,0.0,True,0,0.0,17,113,1610612760,Oklahoma City Thunder,1,0.0
5,2016-10-30,21600041,False,1,1.0,-1,92,1610612742,Dallas Mavericks,0,0.0,True,0,0.0,1,93,1610612745,Houston Rockets,1,1.0
6,2016-10-31,21600042,False,1,0.0,-3,102,1610612743,Denver Nuggets,0,0.0,True,0,0.0,3,105,1610612761,Toronto Raptors,1,0.0
6,2016-10-31,21600043,False,0,0.0,30,118,1610612741,Chicago Bulls,1,0.0,True,1,0.0,-30,88,1610612751,Brooklyn Nets,0,0.0
6,2016-10-31,21600044,True,0,0.0,11,106,1610612737,Atlanta Hawks,1,0.0,False,1,0.0,-11,95,1610612758,Sacramento Kings,0,0.0
6,2016-10-31,21600045,True,0,0.0,18,116,1610612746,LA Clippers,1,0.0,False,1,0.0,-18,98,1610612756,Phoenix Suns,0,0.0
7,2016-11-01,21600046,False,0,0.0,2,103,1610612753,Orlando Magic,1,0.0,True,1,0.0,-2,101,1610612755,Philadelphia 76ers,0,0.0
7,2016-11-01,21600047,True,0,0.0,8,128,1610612739,Cleveland Cavaliers,1,0.0,False,1,0.0,-8,120,1610612745,Houston Rockets,0,0.0
7,2016-11-01,21600048,False,1,0.0,-7,108,1610612747,Los Angeles Lakers,0,0.0,True,0,0.0,7,115,1610612754,Indiana Pacers,1,0.0
7,2016-11-01,21600049,True,0,0.0,12,108,1610612748,Miami Heat,1,0.0,False,1,0.0,-12,96,1610612758,Sacramento Kings,0,0.0
7,2016-11-01,21600050,False,1,0.0,-13,89,1610612752,New York Knicks,0,0.0,True,0,0.0,13,102,1610612765,Detroit Pistons,1,0.0
7,2016-11-01,21600051,True,1,0.0,-4,113,1610612740,New Orleans Pelicans,0,0.0,False,0,0.0,4,117,1610612749,Milwaukee Bucks,1,0.0
7,2016-11-01,21600052,True,0,1.0,36,116,1610612750,Minnesota Timberwolves,1,0.0,False,1,0.0,-36,80,1610612763,Memphis Grizzlies,0,1.0
7,2016-11-01,21600053,True,1,0.0,-15,91,1610612759,San Antonio Spurs,0,0.0,False,0,0.0,15,106,1610612762,Utah Jazz,1,0.0
7,2016-11-01,21600054,False,0,0.0,23,127,1610612744,Golden State Warriors,1,0.0,True,1,0.0,-23,104,1610612757,Portland Trail Blazers,0,0.0
8,2016-11-02,21600055,False,0,0.0,10,113,1610612761,Toronto Raptors,1,0.0,True,1,0.0,-10,103,1610612764,Washington Wizards,0,0.0
8,2016-11-02,21600056,False,1,0.0,-16,93,1610612755,Philadelphia 76ers,0,0.0,True,0,0.0,16,109,1610612766,Charlotte Hornets,1,0.0
8,2016-11-02,21600057,True,0,0.0,8,109,1610612751,Brooklyn Nets,1,0.0,False,1,0.0,-8,101,1610612765,Detroit Pistons,0,0.0
8,2016-11-02,21600058,False,0,0.0,19,118,1610612745,Houston Rockets,1,0.0,True,1,0.0,-19,99,1610612752,New York Knicks,0,0.0
8,2016-11-02,21600059,True,1,0.0,-7,116,1610612737,Atlanta Hawks,0,0.0,False,0,0.0,7,123,1610612747,Los Angeles Lakers,1,0.0
8,2016-11-02,21600060,False,1,0.0,-6,83,1610612740,New Orleans Pelicans,0,0.0,True,0,0.0,6,89,1610612763,Memphis Grizzlies,1,0.0
8,2016-11-02,21600061,True,0,1.0,7,107,1610612738,Boston Celtics,1,0.0,False,1,0.0,-7,100,1610612741,Chicago Bulls,0,1.0
8,2016-11-02,21600062,False,1,0.0,-16,81,1610612742,Dallas Mavericks,0,0.0,True,0,0.0,16,97,1610612762,Utah Jazz,1,0.0
8,2016-11-02,21600063,True,0,0.0,3,118,1610612756,Phoenix Suns,1,0.0,False,1,0.0,-3,115,1610612757,Portland Trail Blazers,0,0.0
8,2016-11-02,21600064,True,1,0.0,-2,83,1610612746,LA Clippers,0,0.0,False,0,0.0,2,85,1610612760,Oklahoma City Thunder,1,0.0
9,2016-11-03,21600065,True,0,0.0,8,102,1610612753,Orlando Magic,1,0.0,False,1,0.0,-8,94,1610612758,Sacramento Kings,0,0.0
9,2016-11-03,21600066,True,0,0.0,18,125,1610612749,Milwaukee Bucks,1,0.0,False,1,0.0,-18,107,1610612754,Indiana Pacers,0,0.0
9,2016-11-03,21600067,False,0,0.0,3,102,1610612743,Denver Nuggets,1,0.0,True,1,0.0,-3,99,1610612750,Minnesota Timberwolves,0,0.0
9,2016-11-03,21600068,False,1,0.0,-6,122,1610612738,Boston Celtics,0,0.0,True,0,0.0,6,128,1610612739,Cleveland Cavaliers,1,0.0
9,2016-11-03,21600069,True,0,0.0,26,122,1610612744,Golden State Warriors,1,0.0,False,1,0.0,-26,96,1610612760,Oklahoma City Thunder,0,0.0
10,2016-11-04,21600070,False,1,0.0,-3,92,1610612737,Atlanta Hawks,0,1.0,True,0,1.0,3,95,1610612764,Washington Wizards,1,0.0
10,2016-11-04,21600071,False,1,0.0,-9,87,1610612748,Miami Heat,0,0.0,True,0,0.0,9,96,1610612761,Toronto Raptors,1,0.0
10,2016-11-04,21600072,True,1,0.0,-4,95,1610612751,Brooklyn Nets,0,0.0,False,0,0.0,4,99,1610612766,Charlotte Hornets,1,0.0
10,2016-11-04,21600073,True,1,0.0,-13,104,1610612741,Chicago Bulls,0,0.0,False,0,0.0,13,117,1610612752,New York Knicks,1,0.0
10,2016-11-04,21600074,False,0,0.0,11,99,1610612746,LA Clippers,1,0.0,True,1,0.0,-11,88,1610612763,Memphis Grizzlies,0,0.0
10,2016-11-04,21600075,True,1,0.0,-1,111,1610612740,New Orleans Pelicans,0,0.0,False,0,0.0,1,112,1610612756,Phoenix Suns,1,0.0
10,2016-11-04,21600076,True,1,0.0,-10,95,1610612742,Dallas Mavericks,0,0.0,False,0,0.0,10,105,1610612757,Portland Trail Blazers,1,0.0
10,2016-11-04,21600077,False,0,1.0,14,100,1610612759,San Antonio Spurs,1,0.0,True,1,0.0,-14,86,1610612762,Utah Jazz,0,1.0
10,2016-11-04,21600078,False,1,0.0,-20,97,1610612744,Golden State Warriors,0,0.0,True,0,0.0,20,117,1610612747,Los Angeles Lakers,1,0.0
11,2016-11-05,21600079,False,1,0.0,-20,92,1610612750,Minnesota Timberwolves,0,0.0,True,0,0.0,20,112,1610612760,Oklahoma City Thunder,1,0.0
11,2016-11-05,21600080,False,0,0.0,1,102,1610612739,Cleveland Cavaliers,1,0.0,True,1,0.0,-1,101,1610612755,Philadelphia 76ers,0,0.0
11,2016-11-05,21600081,True,0,0.0,2,88,1610612753,Orlando Magic,1,0.0,False,1,0.0,-2,86,1610612764,Washington Wizards,0,0.0
11,2016-11-05,21600082,False,1,0.0,-17,86,1610612743,Denver Nuggets,0,0.0,True,0,0.0,17,103,1610612765,Detroit Pistons,1,0.0
11,2016-11-05,21600083,False,1,0.0,-17,94,1610612741,Chicago Bulls,0,1.0,True,0,1.0,17,111,1610612754,Indiana Pacers,1,0.0
11,2016-11-05,21600084,True,0,0.0,15,112,1610612737,Atlanta Hawks,1,0.0,False,1,0.0,-15,97,1610612745,Houston Rockets,0,0.0
11,2016-11-05,21600085,True,0,0.0,26,117,1610612749,Milwaukee Bucks,1,0.0,False,1,0.0,-26,91,1610612758,Sacramento Kings,0,0.0
11,2016-11-05,21600086,False,0,0.0,24,116,1610612746,LA Clippers,1,0.0,True,1,0.0,-24,92,1610612759,San Antonio Spurs,0,0.0
12,2016-11-06,21600087,True,1,0.0,-5,109,1610612752,New York Knicks,0,0.0,False,0,0.0,5,114,1610612762,Utah Jazz,1,0.0
12,2016-11-06,21600088,False,0,0.0,6,100,1610612757,Portland Trail Blazers,1,0.0,True,1,0.0,-6,94,1610612763,Memphis Grizzlies,0,0.0
12,2016-11-06,21600089,False,0,0.0,5,96,1610612758,Sacramento Kings,1,0.0,True,1,0.0,-5,91,1610612761,Toronto Raptors,0,0.0
12,2016-11-06,21600090,True,0,0.0,11,86,1610612742,Dallas Mavericks,1,0.0,False,1,0.0,-11,75,1610612749,Milwaukee Bucks,0,0.0
12,2016-11-06,21600091,True,1,0.0,-16,107,1610612738,Boston Celtics,0,0.0,False,0,0.0,16,123,1610612743,Denver Nuggets,1,0.0
12,2016-11-06,21600092,True,0,0.0,11,119,1610612747,Los Angeles Lakers,1,0.0,False,1,0.0,-11,108,1610612756,Phoenix Suns,0,0.0
13,2016-11-07,21600093,True,1,0.0,-25,84,1610612755,Philadelphia 76ers,0,0.0,False,0,0.0,25,109,1610612762,Utah Jazz,1,0.0
13,2016-11-07,21600094,False,0,0.0,8,114,1610612745,Houston Rockets,1,0.0,True,1,0.0,-8,106,1610612764,Washington Wizards,0,0.0
13,2016-11-07,21600095,False,1,0.0,-22,100,1610612754,Indiana Pacers,0,0.0,True,0,0.0,22,122,1610612766,Charlotte Hornets,1,0.0
13,2016-11-07,21600096,True,0,0.0,32,112,1610612741,Chicago Bulls,1,0.0,False,1,0.0,-32,80,1610612753,Orlando Magic,0,0.0
13,2016-11-07,21600097,False,1,0.0,-12,85,1610612748,Miami Heat,0,0.0,True,0,0.0,12,97,1610612760,Oklahoma City Thunder,1,0.0
13,2016-11-07,21600098,True,0,0.0,32,114,1610612746,LA Clippers,1,0.0,False,1,0.0,-32,82,1610612765,Detroit Pistons,0,0.0
13,2016-11-07,21600099,False,1,1.0,-10,106,1610612740,New Orleans Pelicans,0,0.0,True,0,0.0,10,116,1610612744,Golden State Warriors,1,1.0
14,2016-11-08,21600100,False,0,0.0,4,110,1610612737,Atlanta Hawks,1,0.0,True,1,0.0,-4,106,1610612739,Cleveland Cavaliers,0,0.0
14,2016-11-08,21600101,False,1,0.0,-9,110,1610612750,Minnesota Timberwolves,0,0.0,True,0,0.0,9,119,1610612751,Brooklyn Nets,1,0.0
14,2016-11-08,21600102,False,1,0.0,-1,107,1610612743,Denver Nuggets,0,0.0,True,0,0.0,1,108,1610612763,Memphis Grizzlies,1,0.0
14,2016-11-08,21600103,False,1,0.0,-3,121,1610612756,Phoenix Suns,0,1.0,True,0,1.0,3,124,1610612757,Portland Trail Blazers,1,0.0
14,2016-11-08,21600104,False,0,0.0,12,109,1610612742,Dallas Mavericks,1,0.0,True,1,0.0,-12,97,1610612747,Los Angeles Lakers,0,0.0
14,2016-11-08,21600105,False,1,0.0,-8,94,1610612740,New Orleans Pelicans,0,0.0,True,0,0.0,8,102,1610612758,Sacramento Kings,1,0.0
15,2016-11-09,21600106,False,1,0.0,-14,96,1610612751,Brooklyn Nets,0,0.0,True,0,0.0,14,110,1610612752,New York Knicks,1,0.0
15,2016-11-09,21600107,False,1,0.0,-25,93,1610612738,Boston Celtics,0,0.0,True,0,0.0,25,118,1610612764,Washington Wizards,1,0.0
15,2016-11-09,21600108,False,1,0.0,-6,98,1610612762,Utah Jazz,0,0.0,True,0,0.0,6,104,1610612766,Charlotte Hornets,1,0.0
15,2016-11-09,21600109,False,0,0.0,16,123,1610612750,Minnesota Timberwolves,1,0.0,True,1,0.0,-16,107,1610612753,Orlando Magic,0,0.0
15,2016-11-09,21600110,True,0,0.0,7,122,1610612754,Indiana Pacers,1,0.0,False,1,0.0,-7,115,1610612755,Philadelphia 76ers,0,0.0
15,2016-11-09,21600111,True,0,0.0,8,115,1610612737,Atlanta Hawks,1,0.0,False,1,0.0,-8,107,1610612741,Chicago Bulls,0,0.0
15,2016-11-09,21600112,True,1,0.0,-10,102,1610612760,Oklahoma City Thunder,0,0.0,False,0,0.0,10,112,1610612761,Toronto Raptors,1,0.0
15,2016-11-09,21600113,True,0,0.0,7,107,1610612756,Phoenix Suns,1,0.0,False,1,0.0,-7,100,1610612765,Detroit Pistons,0,0.0
15,2016-11-09,21600114,False,0,0.0,2,101,1610612745,Houston Rockets,1,0.0,True,1,0.0,-2,99,1610612759,San Antonio Spurs,0,0.0
15,2016-11-09,21600115,True,0,0.0,31,111,1610612746,LA Clippers,1,1.0,False,1,1.0,-31,80,1610612757,Portland Trail Blazers,0,0.0
15,2016-11-09,21600116,False,1,0.0,-21,95,1610612742,Dallas Mavericks,0,0.0,True,0,0.0,21,116,1610612744,Golden State Warriors,1,0.0
16,2016-11-10,21600117,False,0,1.0,6,112,1610612740,New Orleans Pelicans,1,0.0,True,1,0.0,-6,106,1610612749,Milwaukee Bucks,0,1.0
16,2016-11-10,21600118,False,0,0.0,3,98,1610612741,Chicago Bulls,1,0.0,True,1,0.0,-3,95,1610612748,Miami Heat,0,0.0
16,2016-11-10,21600119,True,1,0.0,-24,101,1610612743,Denver Nuggets,0,0.0,False,0,0.0,24,125,1610612744,Golden State Warriors,1,0.0
16,2016-11-10,21600120,False,0,0.0,10,101,1610612747,Los Angeles Lakers,1,0.0,True,1,0.0,-10,91,1610612758,Sacramento Kings,0,0.0
17,2016-11-11,21600121,False,1,0.0,-4,105,1610612754,Indiana Pacers,0,1.0,True,0,1.0,4,109,1610612755,Philadelphia 76ers,1,0.0
17,2016-11-11,21600122,False,0,0.0,11,105,1610612739,Cleveland Cavaliers,1,0.0,True,1,0.0,-11,94,1610612764,Washington Wizards,0,0.0
17,2016-11-11,21600123,False,0,0.0,2,113,1610612761,Toronto Raptors,1,0.0,True,1,0.0,-2,111,1610612766,Charlotte Hornets,0,0.0
17,2016-11-11,21600124,True,1,0.0,-13,74,1610612753,Orlando Magic,0,0.0,False,0,0.0,13,87,1610612762,Utah Jazz,1,0.0
17,2016-11-11,21600125,True,0,0.0,28,115,1610612738,Boston Celtics,1,0.0,False,1,0.0,-28,87,1610612752,New York Knicks,0,0.0
17,2016-11-11,21600126,False,0,1.0,2,110,1610612746,LA Clippers,1,0.0,True,1,0.0,-2,108,1610612760,Oklahoma City Thunder,0,1.0
17,2016-11-11,21600127,True,0,0.0,10,96,1610612759,San Antonio Spurs,1,0.0,False,1,0.0,-10,86,1610612765,Detroit Pistons,0,0.0
17,2016-11-11,21600128,True,0,0.0,2,122,1610612757,Portland Trail Blazers,1,0.0,False,1,0.0,-2,120,1610612758,Sacramento Kings,0,0.0
18,2016-11-12,21600129,True,1,0.0,-27,99,1610612740,New Orleans Pelicans,0,0.0,False,0,0.0,27,126,1610612747,Los Angeles Lakers,1,0.0
18,2016-11-12,21600130,False,0,0.0,6,105,1610612738,Boston Celtics,1,0.0,True,1,0.0,-6,99,1610612754,Indiana Pacers,0,0.0
18,2016-11-12,21600131,False,1,0.0,-11,107,1610612752,New York Knicks,0,0.0,True,0,0.0,11,118,1610612761,Toronto Raptors,1,0.0
18,2016-11-12,21600132,True,0,0.0,21,117,1610612737,Atlanta Hawks,1,1.0,False,1,1.0,-21,96,1610612755,Philadelphia 76ers,0,0.0
18,2016-11-12,21600133,True,0,0.0,11,106,1610612741,Chicago Bulls,1,0.0,False,1,0.0,-11,95,1610612764,Washington Wizards,0,0.0
18,2016-11-12,21600134,True,1,0.0,-6,100,1610612745,Houston Rockets,0,1.0,False,0,1.0,6,106,1610612759,San Antonio Spurs,1,0.0
18,2016-11-12,21600135,False,0,0.0,14,119,1610612746,LA Clippers,1,0.0,True,1,0.0,-14,105,1610612750,Minnesota Timberwolves,0,0.0
18,2016-11-12,21600136,True,1,0.0,-11,91,1610612748,Miami Heat,0,0.0,False,0,0.0,11,102,1610612762,Utah Jazz,1,0.0
18,2016-11-12,21600137,True,0,0.0,10,106,1610612749,Milwaukee Bucks,1,0.0,False,1,0.0,-10,96,1610612763,Memphis Grizzlies,0,0.0
18,2016-11-12,21600138,True,1,1.0,-11,95,1610612743,Denver Nuggets,0,0.0,False,0,0.0,11,106,1610612765,Detroit Pistons,1,1.0
18,2016-11-12,21600139,False,0,0.0,18,122,1610612751,Brooklyn Nets,1,0.0,True,1,0.0,-18,104,1610612756,Phoenix Suns,0,0.0
19,2016-11-13,21600140,True,0,0.0,7,100,1610612739,Cleveland Cavaliers,1,0.0,False,1,0.0,-7,93,1610612766,Charlotte Hornets,0,0.0
19,2016-11-13,21600141,False,0,0.0,2,119,1610612753,Orlando Magic,1,0.0,True,1,0.0,-2,117,1610612760,Oklahoma City Thunder,0,0.0
19,2016-11-13,21600142,False,1,0.0,-26,99,1610612747,Los Angeles Lakers,0,0.0,True,0,0.0,26,125,1610612750,Minnesota Timberwolves,1,0.0
19,2016-11-13,21600143,True,0,0.0,13,133,1610612744,Golden State Warriors,1,1.0,False,1,1.0,-13,120,1610612756,Phoenix Suns,0,0.0
19,2016-11-13,21600144,False,1,1.0,-7,105,1610612743,Denver Nuggets,0,0.0,True,0,0.0,7,112,1610612757,Portland Trail Blazers,1,1.0
20,2016-11-14,21600145,False,1,0.0,-19,69,1610612753,Orlando Magic,0,0.0,True,0,0.0,19,88,1610612754,Indiana Pacers,1,0.0
20,2016-11-14,21600146,False,1,0.0,-16,77,1610612742,Dallas Mavericks,0,0.0,True,0,0.0,16,93,1610612752,New York Knicks,1,0.0
20,2016-11-14,21600147,False,1,0.0,-16,88,1610612760,Oklahoma City Thunder,0,0.0,True,0,0.0,16,104,1610612765,Detroit Pistons,1,0.0
20,2016-11-14,21600148,False,1,0.0,-1,105,1610612738,Boston Celtics,0,0.0,True,0,0.0,1,106,1610612740,New Orleans Pelicans,1,0.0
20,2016-11-14,21600149,True,0,0.0,27,115,1610612745,Houston Rockets,1,0.0,False,1,0.0,-27,88,1610612755,Philadelphia 76ers,0,0.0
20,2016-11-14,21600150,False,1,1.0,-4,90,1610612748,Miami Heat,0,0.0,True,0,0.0,4,94,1610612759,San Antonio Spurs,1,1.0
20,2016-11-14,21600151,True,1,0.0,-6,96,1610612762,Utah Jazz,0,0.0,False,0,0.0,6,102,1610612763,Memphis Grizzlies,1,0.0
20,2016-11-14,21600152,True,0,0.0,32,127,1610612746,LA Clippers,1,0.0,False,1,0.0,-32,95,1610612751,Brooklyn Nets,0,0.0
21,2016-11-15,21600153,True,0,0.0,4,121,1610612739,Cleveland Cavaliers,1,1.0,False,1,1.0,-4,117,1610612761,Toronto Raptors,0,0.0
21,2016-11-15,21600154,False,0,0.0,3,93,1610612737,Atlanta Hawks,1,0.0,True,1,0.0,-3,90,1610612748,Miami Heat,0,0.0
21,2016-11-15,21600155,True,1,0.0,-7,108,1610612750,Minnesota Timberwolves,0,0.0,False,0,0.0,7,115,1610612766,Charlotte Hornets,1,0.0
