TEAM_ID,GAME_DATE,lag08_GP,lag08_W_PCT,lag08_FG_PCT,lag08_FT_PCT,DAY_WITHIN_SEASON,lag08_OREB,lag08_DREB,lag08_REB,lag08_AST,lag08_TOV,lag08_STL,lag08_BLK,lag08_PTS,lag08_PLUS_MINUS,lag08_W_PCT_RANK,lag08_PTS_RANK,lag08_PLUS_MINUS_RANK,lag16_GP,lag16_W_PCT,lag16_FG_PCT,lag16_FT_PCT,lag16_OREB,lag16_DREB,lag16_REB,lag16_AST,lag16_TOV,lag16_STL,lag16_BLK,lag16_PTS,lag16_PLUS_MINUS,lag16_W_PCT_RANK,lag16_PTS_RANK,lag16_PLUS_MINUS_RANK,lag32_GP,lag32_W_PCT,lag32_FG_PCT,lag32_FT_PCT,lag32_OREB,lag32_DREB,lag32_REB,lag32_AST,lag32_TOV,lag32_STL,lag32_BLK,lag32_PTS,lag32_PLUS_MINUS,lag32_W_PCT_RANK,lag32_PTS_RANK,lag32_PLUS_MINUS_RANK,lag64_GP,lag64_W_PCT,lag64_FG_PCT,lag64_FT_PCT,lag64_OREB,lag64_DREB,lag64_REB,lag64_AST,lag64_TOV,lag64_STL,lag64_BLK,lag64_PTS,lag64_PLUS_MINUS,lag64_W_PCT_RANK,lag64_PTS_RANK,lag64_PLUS_MINUS_RANK,lag180_GP,lag180_W_PCT,lag180_FG_PCT,lag180_FT_PCT,lag180_OREB,lag180_DREB,lag180_REB,lag180_AST,lag180_TOV,lag180_STL,lag180_BLK,lag180_PTS,lag180_PLUS_MINUS,lag180_W_PCT_RANK,lag180_PTS_RANK,lag180_PLUS_MINUS_RANK
1610612739,2016-10-25,1.0,0.0,0.474,0.733,0,0.15,0.66,0.81,0.4,0.19,0.08,0.13,2.08,-0.04,15.0,17.0,15.0,1.0,0.0,0.474,0.733,0.15,0.66,0.81,0.4,0.19,0.08,0.13,2.08,-0.04,15.0,17.0,15.0,1.0,0.0,0.474,0.733,0.15,0.66,0.81,0.4,0.19,0.08,0.13,2.08,-0.04,15.0,17.0,15.0,1.0,0.0,0.474,0.733,0.15,0.66,0.81,0.4,0.19,0.08,0.13,2.08,-0.04,15.0,17.0,15.0,57.0,0.684,0.462,0.757,0.22,0.69,0.92,0.47,0.27,0.14,0.08,2.18,0.12,5.0,7.0,4.0
1610612744,2016-10-25,1.0,1.0,0.529,0.813,0,0.25,0.81,1.06,0.73,0.35,0.15,0.15,2.6,0.44,1.0,2.0,3.0,1.0,1.0,0.529,0.813,0.25,0.81,1.06,0.73,0.35,0.15,0.15,2.6,0.44,1.0,2.0,3.0,1.0,1.0,0.529,0.813,0.25,0.81,1.06,0.73,0.35,0.15,0.15,2.6,0.44,1.0,2.0,3.0,1.0,1.0,0.529,0.813,0.25,0.81,1.06,0.73,0.35,0.15,0.15,2.6,0.44,1.0,2.0,3.0,55.0,0.855,0.487,0.771,0.19,0.75,0.94,0.6,0.3,0.17,0.12,2.36,0.2,1.0,1.0,1.0
1610612752,2016-10-25,1.0,0.0,0.45,0.889,0,0.17,0.6,0.77,0.56,0.33,0.13,0.17,1.88,-0.25,17.0,28.0,25.0,1.0,0.0,0.45,0.889,0.17,0.6,0.77,0.56,0.33,0.13,0.17,1.88,-0.25,17.0,28.0,25.0,1.0,0.0,0.45,0.889,0.17,0.6,0.77,0.56,0.33,0.13,0.17,1.88,-0.25,17.0,28.0,25.0,1.0,0.0,0.45,0.889,0.17,0.6,0.77,0.56,0.33,0.13,0.17,1.88,-0.25,17.0,28.0,25.0,54.0,0.333,0.444,0.805,0.21,0.71,0.92,0.43,0.27,0.11,0.12,2.03,-0.08,25.0,28.0,25.0
1610612757,2016-10-25,1.0,1.0,0.438,0.818,0,0.27,0.67,0.94,0.4,0.35,0.23,0.17,2.23,0.17,1.0,9.0,9.0,1.0,1.0,0.438,0.818,0.27,0.67,0.94,0.4,0.35,0.23,0.17,2.23,0.17,1.0,9.0,9.0,1.0,1.0,0.438,0.818,0.27,0.67,0.94,0.4,0.35,0.23,0.17,2.23,0.17,1.0,9.0,9.0,1.0,1.0,0.438,0.818,0.27,0.67,0.94,0.4,0.35,0.23,0.17,2.23,0.17,1.0,9.0,9.0,53.0,0.623,0.452,0.763,0.24,0.7,0.94,0.45,0.29,0.15,0.1,2.22,0.04,7.0,6.0,11.0
1610612759,2016-10-25,1.0,1.0,0.473,0.769,0,0.17,0.71,0.88,0.5,0.31,0.17,0.06,2.0,0.1,1.0,22.0,11.0,1.0,1.0,0.473,0.769,0.17,0.71,0.88,0.5,0.31,0.17,0.06,2.0,0.1,1.0,22.0,11.0,1.0,1.0,0.473,0.769,0.17,0.71,0.88,0.5,0.31,0.17,0.06,2.0,0.1,1.0,22.0,11.0,1.0,1.0,0.473,0.769,0.17,0.71,0.88,0.5,0.31,0.17,0.06,2.0,0.1,1.0,22.0,11.0,54.0,0.815,0.484,0.812,0.2,0.69,0.89,0.5,0.26,0.17,0.13,2.17,0.19,2.0,10.0,2.0
1610612762,2016-10-25,1.0,0.0,0.47,0.6,0,0.17,0.63,0.79,0.56,0.29,0.21,0.02,2.0,-0.1,15.0,22.0,16.0,1.0,0.0,0.47,0.6,0.17,0.63,0.79,0.56,0.29,0.21,0.02,2.0,-0.1,15.0,22.0,16.0,1.0,0.0,0.47,0.6,0.17,0.63,0.79,0.56,0.29,0.21,0.02,2.0,-0.1,15.0,22.0,16.0,1.0,0.0,0.47,0.6,0.17,0.63,0.79,0.56,0.29,0.21,0.02,2.0,-0.1,15.0,22.0,16.0,57.0,0.509,0.452,0.745,0.22,0.68,0.89,0.4,0.31,0.15,0.11,2.01,0.06,16.0,30.0,9.0
1610612738,2016-10-26,1.0,1.0,0.43,0.864,1,0.21,0.6,0.81,0.42,0.15,0.15,0.06,2.04,0.21,1.0,19.0,6.0,1.0,1.0,0.43,0.864,0.21,0.6,0.81,0.42,0.15,0.15,0.06,2.04,0.21,1.0,19.0,6.0,1.0,1.0,0.43,0.864,0.21,0.6,0.81,0.42,0.15,0.15,0.06,2.04,0.21,1.0,19.0,6.0,1.0,1.0,0.43,0.864,0.21,0.6,0.81,0.42,0.15,0.15,0.06,2.04,0.21,1.0,19.0,6.0,55.0,0.618,0.443,0.79,0.24,0.7,0.94,0.5,0.27,0.18,0.08,2.22,0.06,8.0,5.0,8.0
1610612739,2016-10-26,1.0,1.0,0.479,0.737,1,0.23,0.83,1.06,0.65,0.31,0.25,0.1,2.44,0.6,1.0,2.0,1.0,1.0,1.0,0.479,0.737,0.23,0.83,1.06,0.65,0.31,0.25,0.1,2.44,0.6,1.0,2.0,1.0,1.0,1.0,0.479,0.737,0.23,0.83,1.06,0.65,0.31,0.25,0.1,2.44,0.6,1.0,2.0,1.0,1.0,1.0,0.479,0.737,0.23,0.83,1.06,0.65,0.31,0.25,0.1,2.44,0.6,1.0,2.0,1.0,1.0,1.0,0.479,0.737,0.23,0.83,1.06,0.65,0.31,0.25,0.1,2.44,0.6,1.0,2.0,1.0
1610612740,2016-10-26,1.0,0.0,0.435,0.818,1,0.21,0.48,0.69,0.65,0.33,0.15,0.0,2.27,-0.73,15.0,7.0,27.0,1.0,0.0,0.435,0.818,0.21,0.48,0.69,0.65,0.33,0.15,0.0,2.27,-0.73,15.0,7.0,27.0,1.0,0.0,0.435,0.818,0.21,0.48,0.69,0.65,0.33,0.15,0.0,2.27,-0.73,15.0,7.0,27.0,1.0,0.0,0.435,0.818,0.21,0.48,0.69,0.65,0.33,0.15,0.0,2.27,-0.73,15.0,7.0,27.0,55.0,0.4,0.449,0.767,0.21,0.69,0.89,0.47,0.27,0.16,0.08,2.13,-0.06,21.0,15.0,22.0
1610612742,2016-10-26,1.0,0.0,0.403,0.81,1,0.23,0.63,0.85,0.42,0.25,0.17,0.04,1.9,-0.1,15.0,26.0,16.0,1.0,0.0,0.403,0.81,0.23,0.63,0.85,0.42,0.25,0.17,0.04,1.9,-0.1,15.0,26.0,16.0,1.0,0.0,0.403,0.81,0.23,0.63,0.85,0.42,0.25,0.17,0.04,1.9,-0.1,15.0,26.0,16.0,1.0,0.0,0.403,0.81,0.23,0.63,0.85,0.42,0.25,0.17,0.04,1.9,-0.1,15.0,26.0,16.0,55.0,0.491,0.447,0.797,0.19,0.67,0.86,0.46,0.25,0.14,0.08,2.1,-0.01,18.0,20.0,17.0
