,DAY_WITHIN_SEASON,GAME_DATE,GAME_ID,T1_IS_HOME,T1_L,T1_L_cum,T1_PLUS_MINUS,T1_PTS,T1_TEAM_ID,T1_TEAM_NAME,T1_W,T1_W_cum,T1_lag08_AST,T1_lag08_BLK,T1_lag08_DREB,T1_lag08_FG_PCT,T1_lag08_FT_PCT,T1_lag08_GP,T1_lag08_OREB,T1_lag08_PLUS_MINUS,T1_lag08_PLUS_MINUS_RANK,T1_lag08_PTS,T1_lag08_PTS_RANK,T1_lag08_REB,T1_lag08_STL,T1_lag08_TOV,T1_lag08_W_PCT,T1_lag08_W_PCT_RANK,T1_lag16_AST,T1_lag16_BLK,T1_lag16_DREB,T1_lag16_FG_PCT,T1_lag16_FT_PCT,T1_lag16_GP,T1_lag16_OREB,T1_lag16_PLUS_MINUS,T1_lag16_PLUS_MINUS_RANK,T1_lag16_PTS,T1_lag16_PTS_RANK,T1_lag16_REB,T1_lag16_STL,T1_lag16_TOV,T1_lag16_W_PCT,T1_lag16_W_PCT_RANK,T1_lag180_AST,T1_lag180_BLK,T1_lag180_DREB,T1_lag180_FG_PCT,T1_lag180_FT_PCT,T1_lag180_GP,T1_lag180_OREB,T1_lag180_PLUS_MINUS,T1_lag180_PLUS_MINUS_RANK,T1_lag180_PTS,T1_lag180_PTS_RANK,T1_lag180_REB,T1_lag180_STL,T1_lag180_TOV,T1_lag180_W_PCT,T1_lag180_W_PCT_RANK,T1_lag32_AST,T1_lag32_BLK,T1_lag32_DREB,T1_lag32_FG_PCT,T1_lag32_FT_PCT,T1_lag32_GP,T1_lag32_OREB,T1_lag32_PLUS_MINUS,T1_lag32_PLUS_MINUS_RANK,T1_lag32_PTS,T1_lag32_PTS_RANK,T1_lag32_REB,T1_lag32_STL,T1_lag32_TOV,T1_lag32_W_PCT,T1_lag32_W_PCT_RANK,T1_lag64_AST,T1_lag64_BLK,T1_lag64_DREB,T1_lag64_FG_PCT,T1_lag64_FT_PCT,T1_lag64_GP,T1_lag64_OREB,T1_lag64_PLUS_MINUS,T1_lag64_PLUS_MINUS_RANK,T1_lag64_PTS,T1_lag64_PTS_RANK,T1_lag64_REB,T1_lag64_STL,T1_lag64_TOV,T1_lag64_W_PCT,T1_lag64_W_PCT_RANK,T2_IS_HOME,T2_L,T2_L_cum,T2_PLUS_MINUS,T2_PTS,T2_TEAM_ID,T2_TEAM_NAME,T2_W,T2_W_cum,T2_lag08_AST,T2_lag08_BLK,T2_lag08_DREB,T2_lag08_FG_PCT,T2_lag08_FT_PCT,T2_lag08_GP,T2_lag08_OREB,T2_lag08_PLUS_MINUS,T2_lag08_PLUS_MINUS_RANK,T2_lag08_PTS,T2_lag08_PTS_RANK,T2_lag08_REB,T2_lag08_STL,T2_lag08_TOV,T2_lag08_W_PCT,T2_lag08_W_PCT_RANK,T2_lag16_AST,T2_lag16_BLK,T2_lag16_DREB,T2_lag16_FG_PCT,T2_lag16_FT_PCT,T2_lag16_GP,T2_lag16_OREB,T2_lag16_PLUS_MINUS,T2_lag16_PLUS_MINUS_RANK,T2_lag16_PTS,T2_lag16_PTS_RANK,T2_lag16_REB,T2_lag16_STL,T2_lag16_TOV,T2_lag16_W_PCT,T2_lag16_W_PCT_RANK,T2_lag180_AST,T2_lag180_BLK,T2_lag180_DREB,T2_lag180_FG_PCT,T2_lag180_FT_PCT,T2_lag180_GP,T2_lag180_OREB,T2_lag180_PLUS_MINUS,T2_lag180_PLUS_MINUS_RANK,T2_lag180_PTS,T2_lag180_PTS_RANK,T2_lag180_REB,T2_lag180_STL,T2_lag180_TOV,T2_lag180_W_PCT,T2_lag180_W_PCT_RANK,T2_lag32_AST,T2_lag32_BLK,T2_lag32_DREB,T2_lag32_FG_PCT,T2_lag32_FT_PCT,T2_lag32_GP,T2_lag32_OREB,T2_lag32_PLUS_MINUS,T2_lag32_PLUS_MINUS_RANK,T2_lag32_PTS,T2_lag32_PTS_RANK,T2_lag32_REB,T2_lag32_STL,T2_lag32_TOV,T2_lag32_W_PCT,T2_lag32_W_PCT_RANK,T2_lag64_AST,T2_lag64_BLK,T2_lag64_DREB,T2_lag64_FG_PCT,T2_lag64_FT_PCT,T2_lag64_GP,T2_lag64_OREB,T2_lag64_PLUS_MINUS,T2_lag64_PLUS_MINUS_RANK,T2_lag64_PTS,T2_lag64_PTS_RANK,T2_lag64_REB,T2_lag64_STL,T2_lag64_TOV,T2_lag64_W_PCT,T2_lag64_W_PCT_RANK
0,0,2009-04-18,40800101,True,0,0.0,18,102,1610612739,Cleveland Cavaliers,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-18,84,1610612765,Detroit Pistons,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2009-04-18,40800111,True,1,0.0,-2,103,1610612738,Boston Celtics,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,2,105,1610612741,Chicago Bulls,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2009-04-18,40800161,False,0,0.0,8,105,1610612742,Dallas Mavericks,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,0.0,-8,97,1610612759,San Antonio Spurs,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,2009-04-18,40800171,False,0,0.0,27,108,1610612745,Houston Rockets,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,0.0,-27,81,1610612757,Portland Trail Blazers,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,2009-04-19,40800121,True,1,0.0,-2,98,1610612753,Orlando Magic,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,2,100,1610612755,Philadelphia 76ers,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,2009-04-19,40800131,True,0,0.0,26,90,1610612737,Atlanta Hawks,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-26,64,1610612748,Miami Heat,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,2009-04-19,40800141,True,0,0.0,13,113,1610612747,Los Angeles Lakers,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-13,100,1610612762,Utah Jazz,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2009-04-19,40800151,False,1,0.0,-29,84,1610612740,New Orleans Hornets,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0.0,29,113,1610612743,Denver Nuggets,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,2009-04-20,40800112,True,0,1.0,3,118,1610612738,Boston Celtics,1,0.0,0.3,0.13,0.66,0.394,0.778,1.0,0.19,-0.04,9.0,1.94,11.0,0.85,0.15,0.25,0.0,9.0,0.3,0.13,0.66,0.394,0.778,1.0,0.19,-0.04,9.0,1.94,11.0,0.85,0.15,0.25,0.0,9.0,0.3,0.13,0.66,0.394,0.778,1.0,0.19,-0.04,9.0,1.94,11.0,0.85,0.15,0.25,0.0,9.0,0.3,0.13,0.66,0.394,0.778,1.0,0.19,-0.04,9.0,1.94,11.0,0.85,0.15,0.25,0.0,9.0,0.3,0.13,0.66,0.394,0.778,1.0,0.19,-0.04,9.0,1.94,11.0,0.85,0.15,0.25,0.0,9.0,False,1,0.0,-3,115,1610612741,Chicago Bulls,0,1.0,0.38,0.19,0.81,0.427,0.909,1.0,0.19,0.04,8.0,1.98,10.0,1.0,0.09,0.32,1.0,1.0,0.38,0.19,0.81,0.427,0.909,1.0,0.19,0.04,8.0,1.98,10.0,1.0,0.09,0.32,1.0,1.0,0.38,0.19,0.81,0.427,0.909,1.0,0.19,0.04,8.0,1.98,10.0,1.0,0.09,0.32,1.0,1.0,0.38,0.19,0.81,0.427,0.909,1.0,0.19,0.04,8.0,1.98,10.0,1.0,0.09,0.32,1.0,1.0,0.38,0.19,0.81,0.427,0.909,1.0,0.19,0.04,8.0,1.98,10.0,1.0,0.09,0.32,1.0,1.0
9,2,2009-04-20,40800162,False,1,0.0,-21,84,1610612742,Dallas Mavericks,0,1.0,0.29,0.06,0.6,0.538,0.941,1.0,0.21,0.17,6.0,2.19,4.0,0.81,0.1,0.15,1.0,1.0,0.29,0.06,0.6,0.538,0.941,1.0,0.21,0.17,6.0,2.19,4.0,0.81,0.1,0.15,1.0,1.0,0.29,0.06,0.6,0.538,0.941,1.0,0.21,0.17,6.0,2.19,4.0,0.81,0.1,0.15,1.0,1.0,0.29,0.06,0.6,0.538,0.941,1.0,0.21,0.17,6.0,2.19,4.0,0.81,0.1,0.15,1.0,1.0,0.29,0.06,0.6,0.538,0.941,1.0,0.21,0.17,6.0,2.19,4.0,0.81,0.1,0.15,1.0,1.0,True,0,1.0,21,105,1610612759,San Antonio Spurs,1,0.0,0.38,0.0,0.48,0.469,0.833,1.0,0.25,-0.17,11.0,2.02,9.0,0.73,0.04,0.19,0.0,9.0,0.38,0.0,0.48,0.469,0.833,1.0,0.25,-0.17,11.0,2.02,9.0,0.73,0.04,0.19,0.0,9.0,0.38,0.0,0.48,0.469,0.833,1.0,0.25,-0.17,11.0,2.02,9.0,0.73,0.04,0.19,0.0,9.0,0.38,0.0,0.48,0.469,0.833,1.0,0.25,-0.17,11.0,2.02,9.0,0.73,0.04,0.19,0.0,9.0,0.38,0.0,0.48,0.469,0.833,1.0,0.25,-0.17,11.0,2.02,9.0,0.73,0.04,0.19,0.0,9.0
