,DAY_WITHIN_SEASON,GAME_DATE,GAME_ID,T1_IS_HOME,T1_L,T1_L_cum,T1_PLUS_MINUS,T1_PTS,T1_TEAM_ID,T1_TEAM_NAME,T1_W,T1_W_cum,T1_lag08_AST,T1_lag08_BLK,T1_lag08_DREB,T1_lag08_FG_PCT,T1_lag08_FT_PCT,T1_lag08_GP,T1_lag08_OREB,T1_lag08_PLUS_MINUS,T1_lag08_PLUS_MINUS_RANK,T1_lag08_PTS,T1_lag08_PTS_RANK,T1_lag08_REB,T1_lag08_STL,T1_lag08_TOV,T1_lag08_W_PCT,T1_lag08_W_PCT_RANK,T1_lag16_AST,T1_lag16_BLK,T1_lag16_DREB,T1_lag16_FG_PCT,T1_lag16_FT_PCT,T1_lag16_GP,T1_lag16_OREB,T1_lag16_PLUS_MINUS,T1_lag16_PLUS_MINUS_RANK,T1_lag16_PTS,T1_lag16_PTS_RANK,T1_lag16_REB,T1_lag16_STL,T1_lag16_TOV,T1_lag16_W_PCT,T1_lag16_W_PCT_RANK,T1_lag180_AST,T1_lag180_BLK,T1_lag180_DREB,T1_lag180_FG_PCT,T1_lag180_FT_PCT,T1_lag180_GP,T1_lag180_OREB,T1_lag180_PLUS_MINUS,T1_lag180_PLUS_MINUS_RANK,T1_lag180_PTS,T1_lag180_PTS_RANK,T1_lag180_REB,T1_lag180_STL,T1_lag180_TOV,T1_lag180_W_PCT,T1_lag180_W_PCT_RANK,T1_lag32_AST,T1_lag32_BLK,T1_lag32_DREB,T1_lag32_FG_PCT,T1_lag32_FT_PCT,T1_lag32_GP,T1_lag32_OREB,T1_lag32_PLUS_MINUS,T1_lag32_PLUS_MINUS_RANK,T1_lag32_PTS,T1_lag32_PTS_RANK,T1_lag32_REB,T1_lag32_STL,T1_lag32_TOV,T1_lag32_W_PCT,T1_lag32_W_PCT_RANK,T1_lag64_AST,T1_lag64_BLK,T1_lag64_DREB,T1_lag64_FG_PCT,T1_lag64_FT_PCT,T1_lag64_GP,T1_lag64_OREB,T1_lag64_PLUS_MINUS,T1_lag64_PLUS_MINUS_RANK,T1_lag64_PTS,T1_lag64_PTS_RANK,T1_lag64_REB,T1_lag64_STL,T1_lag64_TOV,T1_lag64_W_PCT,T1_lag64_W_PCT_RANK,T2_IS_HOME,T2_L,T2_L_cum,T2_PLUS_MINUS,T2_PTS,T2_TEAM_ID,T2_TEAM_NAME,T2_W,T2_W_cum,T2_lag08_AST,T2_lag08_BLK,T2_lag08_DREB,T2_lag08_FG_PCT,T2_lag08_FT_PCT,T2_lag08_GP,T2_lag08_OREB,T2_lag08_PLUS_MINUS,T2_lag08_PLUS_MINUS_RANK,T2_lag08_PTS,T2_lag08_PTS_RANK,T2_lag08_REB,T2_lag08_STL,T2_lag08_TOV,T2_lag08_W_PCT,T2_lag08_W_PCT_RANK,T2_lag16_AST,T2_lag16_BLK,T2_lag16_DREB,T2_lag16_FG_PCT,T2_lag16_FT_PCT,T2_lag16_GP,T2_lag16_OREB,T2_lag16_PLUS_MINUS,T2_lag16_PLUS_MINUS_RANK,T2_lag16_PTS,T2_lag16_PTS_RANK,T2_lag16_REB,T2_lag16_STL,T2_lag16_TOV,T2_lag16_W_PCT,T2_lag16_W_PCT_RANK,T2_lag180_AST,T2_lag180_BLK,T2_lag180_DREB,T2_lag180_FG_PCT,T2_lag180_FT_PCT,T2_lag180_GP,T2_lag180_OREB,T2_lag180_PLUS_MINUS,T2_lag180_PLUS_MINUS_RANK,T2_lag180_PTS,T2_lag180_PTS_RANK,T2_lag180_REB,T2_lag180_STL,T2_lag180_TOV,T2_lag180_W_PCT,T2_lag180_W_PCT_RANK,T2_lag32_AST,T2_lag32_BLK,T2_lag32_DREB,T2_lag32_FG_PCT,T2_lag32_FT_PCT,T2_lag32_GP,T2_lag32_OREB,T2_lag32_PLUS_MINUS,T2_lag32_PLUS_MINUS_RANK,T2_lag32_PTS,T2_lag32_PTS_RANK,T2_lag32_REB,T2_lag32_STL,T2_lag32_TOV,T2_lag32_W_PCT,T2_lag32_W_PCT_RANK,T2_lag64_AST,T2_lag64_BLK,T2_lag64_DREB,T2_lag64_FG_PCT,T2_lag64_FT_PCT,T2_lag64_GP,T2_lag64_OREB,T2_lag64_PLUS_MINUS,T2_lag64_PLUS_MINUS_RANK,T2_lag64_PTS,T2_lag64_PTS_RANK,T2_lag64_REB,T2_lag64_STL,T2_lag64_TOV,T2_lag64_W_PCT,T2_lag64_W_PCT_RANK
0,0,2008-04-19,40700131,True,0,0.0,7,93,1610612739,Cleveland Cavaliers,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-7,86,1610612764,Washington Wizards,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2008-04-19,40700151,True,0,0.0,12,104,1610612740,New Orleans Hornets,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-12,92,1610612742,Dallas Mavericks,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2008-04-19,40700161,False,1,0.0,-2,115,1610612756,Phoenix Suns,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0.0,2,117,1610612759,San Antonio Spurs,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,2008-04-19,40700171,True,1,0.0,-11,82,1610612745,Houston Rockets,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,11,93,1610612762,Utah Jazz,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,2008-04-20,40700101,False,1,0.0,-23,81,1610612737,Atlanta Hawks,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0.0,23,104,1610612738,Boston Celtics,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,2008-04-20,40700111,False,0,0.0,4,90,1610612755,Philadelphia 76ers,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,0.0,-4,86,1610612765,Detroit Pistons,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,2008-04-20,40700121,True,0,0.0,14,114,1610612753,Orlando Magic,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-14,100,1610612761,Toronto Raptors,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2008-04-20,40700141,False,1,0.0,-14,114,1610612743,Denver Nuggets,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0.0,14,128,1610612747,Los Angeles Lakers,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,2008-04-21,40700132,True,0,0.0,30,116,1610612739,Cleveland Cavaliers,1,1.0,0.5,0.1,0.75,0.395,0.757,1.0,0.15,0.15,6.0,1.94,9.0,0.9,0.13,0.17,1.0,1.0,0.5,0.1,0.75,0.395,0.757,1.0,0.15,0.15,6.0,1.94,9.0,0.9,0.13,0.17,1.0,1.0,0.5,0.1,0.75,0.395,0.757,1.0,0.15,0.15,6.0,1.94,9.0,0.9,0.13,0.17,1.0,1.0,0.5,0.1,0.75,0.395,0.757,1.0,0.15,0.15,6.0,1.94,9.0,0.9,0.13,0.17,1.0,1.0,0.5,0.1,0.75,0.395,0.757,1.0,0.15,0.15,6.0,1.94,9.0,0.9,0.13,0.17,1.0,1.0,False,1,1.0,-30,86,1610612764,Washington Wizards,0,0.0,0.33,0.06,0.67,0.402,0.824,1.0,0.21,-0.15,11.0,1.79,13.0,0.88,0.08,0.27,0.0,9.0,0.33,0.06,0.67,0.402,0.824,1.0,0.21,-0.15,11.0,1.79,13.0,0.88,0.08,0.27,0.0,9.0,0.33,0.06,0.67,0.402,0.824,1.0,0.21,-0.15,11.0,1.79,13.0,0.88,0.08,0.27,0.0,9.0,0.33,0.06,0.67,0.402,0.824,1.0,0.21,-0.15,11.0,1.79,13.0,0.88,0.08,0.27,0.0,9.0,0.33,0.06,0.67,0.402,0.824,1.0,0.21,-0.15,11.0,1.79,13.0,0.88,0.08,0.27,0.0,9.0
9,2,2008-04-21,40700172,True,1,1.0,-6,84,1610612745,Houston Rockets,0,0.0,0.31,0.08,0.48,0.367,0.621,1.0,0.38,-0.23,12.0,1.71,15.0,0.85,0.17,0.29,0.0,9.0,0.31,0.08,0.48,0.367,0.621,1.0,0.38,-0.23,12.0,1.71,15.0,0.85,0.17,0.29,0.0,9.0,0.31,0.08,0.48,0.367,0.621,1.0,0.38,-0.23,12.0,1.71,15.0,0.85,0.17,0.29,0.0,9.0,0.31,0.08,0.48,0.367,0.621,1.0,0.38,-0.23,12.0,1.71,15.0,0.85,0.17,0.29,0.0,9.0,0.31,0.08,0.48,0.367,0.621,1.0,0.38,-0.23,12.0,1.71,15.0,0.85,0.17,0.29,0.0,9.0,False,0,0.0,6,90,1610612762,Utah Jazz,1,1.0,0.46,0.1,0.58,0.521,0.632,1.0,0.27,0.23,5.0,1.94,9.0,0.85,0.08,0.29,1.0,1.0,0.46,0.1,0.58,0.521,0.632,1.0,0.27,0.23,5.0,1.94,9.0,0.85,0.08,0.29,1.0,1.0,0.46,0.1,0.58,0.521,0.632,1.0,0.27,0.23,5.0,1.94,9.0,0.85,0.08,0.29,1.0,1.0,0.46,0.1,0.58,0.521,0.632,1.0,0.27,0.23,5.0,1.94,9.0,0.85,0.08,0.29,1.0,1.0,0.46,0.1,0.58,0.521,0.632,1.0,0.27,0.23,5.0,1.94,9.0,0.85,0.08,0.29,1.0,1.0
